tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,predictions
570310600460525568,negative,0.6292,Flight Booking Problems,0.3146,US Airways,,jhazelnut,,0,@usairways  is there a better time to call? my flight is on friday and i need to change it. worried i may be on hold until then.,,2015-02-24 11:53:37 -0800,,,3
570310144459972608,negative,1.0,Customer Service Issue,1.0,US Airways,,GAKotsch,,0,@usairways and when will one of these agents be available to speak?,,2015-02-24 11:51:48 -0800,,Atlantic Time (Canada),3
570308799950692353,negative,1.0,Customer Service Issue,0.6452,US Airways,,retardedlarry,,0,@usairways just hung up on me again.  another waste of an hour of my time.  how am i supposed to book a one way award flight?  #badwebsite,,2015-02-24 11:46:28 -0800,,,3
570307605631012864,negative,1.0,Customer Service Issue,1.0,US Airways,,Matt_Bernanke,,0,@usairways you're killing me from the inside,,2015-02-24 11:41:43 -0800,,Quito,3
570307109218340865,negative,0.7020000000000001,Flight Attendant Complaints,0.7020000000000001,US Airways,,jeremyleewhite,,0,@usairways is not the new @americanair is more like the new @spiritairlines. love aa. not impressed with the subpar planes and gate agents.,"[35.21979387, -80.94498281]",2015-02-24 11:39:45 -0800,,,2
570306715880706049,negative,1.0,Bad Flight,0.6505,US Airways,,Anthony_Scerri,,0,@usairways flight 645 to phoenix deboards passengers going to salt lake city because they can't resolve a simple bathroom issue. #fail,,2015-02-24 11:38:11 -0800,"Astoria, NY",Quito,0
570304779412508673,negative,1.0,Customer Service Issue,0.7072,US Airways,,TheOnlyJasonS,,1,@usairways always fun to get screwed out of an earlier flight (that isn't full) #crummyservice #whydidntiflysouthwest #goodluckamericanair,,2015-02-24 11:30:29 -0800,,,0
570304445336178688,negative,1.0,Customer Service Issue,0.66,US Airways,,justdetric,,0,@usairways ok...i know doors close ~10 minutes before takeoff. stop telling me my flight will leave in 20 minutes when we haven't boarded.,,2015-02-24 11:29:10 -0800,"Raleigh, NC",Eastern Time (US & Canada),3
570304440017788929,negative,1.0,Customer Service Issue,1.0,US Airways,,djndc4l,,0,@usairways i finally got through on the phone after a 2 hour wait time.,,2015-02-24 11:29:08 -0800,,,3
570304244001193984,negative,1.0,longlines,0.3663,US Airways,,Anthony_Scerri,,0,@usairways been stuck for 40+ minutes due to lavatory issues. no beverages. no snacks. no customer service. flt 645 to pho... #fail #refund,,2015-02-24 11:28:22 -0800,"Astoria, NY",Quito,0
570303720308809728,negative,1.0,Customer Service Issue,1.0,US Airways,,jhazelnut,,0,@usairways i've been on hold to change a date on a ticket for over 3 hours. can someone please assist me? unacceptable.,,2015-02-24 11:26:17 -0800,,,3
570302717085790209,negative,1.0,Customer Service Issue,0.6519,US Airways,,TheOnlyJasonS,,1,@usairways thanks 4 making it impossibly expensive 2 change 2 a flight leaving less than 24 hrs earlier than my reservation #1lesscustomer,,2015-02-24 11:22:18 -0800,,,2
