tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,predictions
570308309682675712,negative,1.0,Customer Service Issue,1.0,American,,SweeLoTmac,,0,@americanair why would i even consider continuing your point program when i received no perks or continued bad customer service? #senseless,,2015-02-24 11:44:31 -0800,,Quito,2
570307949614256128,negative,0.6316,Bad Flight,0.3164,American,,ELLLORRAC,,0,@americanair thanks for getting back to me. but i will find other airlines in the future.,,2015-02-24 11:43:05 -0800,,Central Time (US & Canada),1
570307948171423745,negative,0.6846,Flight Booking Problems,0.6846,American,,SweeLoTmac,,0,@americanair why would i pay $200 to reactivate my points that are only useful for certain flights that aren't even worth $200?,,2015-02-24 11:43:05 -0800,,Quito,4
570307434113310720,negative,0.6547,Late Flight,0.3331,American,,LauraMolito,,0,"@americanair stranded for 24 hours in mia, patrick casimir has been the only aa staff to apologize for the great inconvenience #unreal",,2015-02-24 11:41:02 -0800,"New York, NY",Atlantic Time (Canada),3
570307390752608257,negative,1.0,Flight Booking Problems,0.6796,American,,barbararwill,,0,"@americanair no thanks.  as i said, being denied miles that expired one week ago was the last drop for me; plan to avoid aa as possible.",,2015-02-24 11:40:52 -0800,Mexico City,,1
570307369328095232,negative,0.667,Customer Service Issue,0.3341,American,,Bossman1908,,0,"@americanair sorry so late flight, responded to your dm.",,2015-02-24 11:40:47 -0800,Liverpool,,5
570306867878072320,negative,1.0,Flight Attendant Complaints,1.0,American,,TheTPVshow,,0,"@americanair aa employees were rude and unwilling to help. 10,000 miles is a rotten cherry on top of a dog shit sunday. #nocareforcustomers",,2015-02-24 11:38:47 -0800,MN,Central Time (US & Canada),4
570306715599695874,negative,0.6889,Can't Tell,0.3444,American,,banderson_1978,,0,@americanair mold on my flight?!? us3825 #filthyplane #hopeidonotgetsick http://t.co/zik2uoxgnw,"[35.22643463, -80.93879965]",2015-02-24 11:38:11 -0800,"Albany, NY",,0
570306529947193344,negative,0.6449,longlines,0.334,American,,TheTPVshow,,0,"@americanair i slept in the miami airport due to mechanical issues and was given 10,000 bonus miles to try and make it right. #slapintheface",,2015-02-24 11:37:27 -0800,MN,Central Time (US & Canada),1
570306260010176512,negative,1.0,Flight Booking Problems,0.3488,American,,HollyKinnamon,,0,@americanair 1hr 46 min. cost of flight change $788. was $188 2hrs ago b/f drop call. cancelled flighted flight. asked 4 refund.,,2015-02-24 11:36:22 -0800,"Washington, DC",Quito,0
