text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates
"@jet2tweets booked with jet2 first time on Sunday and by today the package i booked for 2 has gone down nearly £80, just doesn't seem fair",583020273408061441,shykhan607,2015-03-31 21:37:19+00:00,0,0,
@jet2tweets does the price that comes up on the app the full price as there's no option to book seats when I've used you before,583017835561095168,newmantaz,2015-03-31 21:27:38+00:00,0,0,
@jet2tweets got engaged at the top. Not a good day. ,583008189756645376,CDPotterLtd,2015-03-31 20:49:18+00:00,0,0,
@jet2tweets ....2K8JV4 was back on sunday 29th,582974093072449536,Desymac,2015-03-31 18:33:49+00:00,0,0,
@jet2tweets @EDI_Airport ...anyone traveling with jet2holidays ..hold on to your cases ...because they DONT !!!,582967626294534144,Desymac,2015-03-31 18:08:07+00:00,0,0,
@jet2tweets do you know whether flights from manchester to murcia going to continue after november?,582967169991970817,chriscam66,2015-03-31 18:06:18+00:00,0,0,
@jet2tweets Hi I've just dm you both numbers Kirsty,582917574817660928,bluedanny8754,2015-03-31 14:49:14+00:00,0,0,
"@jet2tweets I'm going to tenerife on Thurs with jet2holidays and there is no facility to add API on manage my booking on Web, what can I do?",582910108763570176,lukevincent122,2015-03-31 14:19:34+00:00,0,1,
@jet2tweets done,582892277649039360,DavidHollyhead,2015-03-31 13:08:43+00:00,0,0,
"@jet2tweets Hi booked with low cost and fly with yourselves, I've got confirmation through and have 2 different ref no's",582882906114244608,bluedanny8754,2015-03-31 12:31:28+00:00,0,0,
"@jet2tweets I booked a £2300 holiday through Top Cash Back in Feb, the deal was to get £30 cash back, TCB say you haven't paid up, why not?",582874468957220865,DavidHollyhead,2015-03-31 11:57:57+00:00,0,0,
@Jet2tweets's How come NCL-&gt;KRK-&gt;NCL flights are so expensive? It is often cheaper to fly KLM!,582873775739392001,richilton,2015-03-31 11:55:12+00:00,0,0,
"@jet2tweets hi, recieved the second email earlier, thanks anyway.",582859716256239616,MattGleeson89,2015-03-31 10:59:20+00:00,0,0,
@jet2tweets Disappointed that my flight has been moved 2hrs later when travelling with young child!,582825186271039488,MrsReilly84,2015-03-31 08:42:07+00:00,0,0,
@jet2tweets holiday - we've already booked but our 2 sons want to join us for 5 days so that's the issue!,582632411667795971,SarahGoldt,2015-03-30 19:56:06+00:00,0,0,
@jet2tweets oh and btw we just got back from lovely hol at Costa Adeje Gran Hotel in Tenerife!,582631272981389312,SarahGoldt,2015-03-30 19:51:34+00:00,0,0,
@jet2tweets hi there I need a bit of advice about booking for people when you're not the lead name? Can you help?,582630856264671233,SarahGoldt,2015-03-30 19:49:55+00:00,0,0,
@jet2tweets wanted to compliment you on flight from Gran Canaria to EastMids airport. First time using you but definitely again.,582626814255865857,Feltip1982,2015-03-30 19:33:51+00:00,0,0,
@jet2tweets my phone has no missed calls showing atall. and that number is too expensive to call for me using my Mobile.,582602229846282240,DavidCLumb1,2015-03-30 17:56:10+00:00,0,0,
@jet2tweets i have DM'd my phone number i missed your Dm message. Im going off now. if you replie ill see your replie later on,582594182650454016,DavidCLumb1,2015-03-30 17:24:11+00:00,0,0,
"@jet2tweets done, can you follow back plz?",582574647952207872,stevengilligan,2015-03-30 16:06:34+00:00,0,0,
"@jet2tweets cycling in majorca next week, can I take pressurised CO2 cartridges on the plane?",582557652380729344,stevengilligan,2015-03-30 14:59:02+00:00,0,0,
@jet2tweets is is possible for me to change my seat again on my inconvient flight times flight going out to tenerife?,582552194983006209,DavidCLumb1,2015-03-30 14:37:21+00:00,0,0,
@jet2tweets thank you,582502741479710720,lalapo1,2015-03-30 11:20:50+00:00,0,0,
@jet2tweets if I'm travelling to Palma Majorca in June and my passport expires in October is this okay?someone told me u have to have 6mth,582499509667815424,lalapo1,2015-03-30 11:08:00+00:00,0,0,
@jet2tweets think these two found my location rather amusing. Crew of G-GDFF 29/3/15 . I was stood on a shed though,582252272488476672,NickPreston40,2015-03-29 18:45:34+00:00,0,0,
"@jet2tweets flight to and from bcn were good. Great, friendly crew. Bcn ground staff let u down by not taggin bags and causing delays.",582251057486675969,fionasuffredini,2015-03-29 18:40:44+00:00,0,0,
@jet2tweets To the snowy playgrounds of #Champoluc #Italy,582231037398384641,euuuan,2015-03-29 17:21:11+00:00,0,0,
@jet2tweets hey :) was wondering how long the £100 off is on for?? thanks,582171147174834176,DaniEckersley,2015-03-29 13:23:12+00:00,0,0,
@jet2tweets what's a lazy Sunday....??,582117930806222848,JonnyW1969,2015-03-29 09:51:44+00:00,0,0,
"@jet2tweets All except the car clock, might get round to that before October.",582093209318359042,LandypeteMorris,2015-03-29 08:13:30+00:00,0,0,
@jet2tweets #ShoutOut to Deborah &amp; Vikki Flight LS518 #bestcustomerservice looked after us superb @ChrisssTheCub ,581918649461641216,JonTheFoxxx,2015-03-28 20:39:52+00:00,1,1,
@jet2tweets sorry Vicki missed your message gran canaria in may,581914374555729920,wesedmund,2015-03-28 20:22:52+00:00,0,0,
