text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates
@easyJet thanks for reply and link .look foward to booking again soon,571814198788956160,st07pat,2015-02-28 23:28:23+00:00,0,1,
"@easyJet disgusted by the way my brother was recently treated when travelling with you,we won't be bothering to book flights with you again",571809592155475970,LauraPugh5,2015-02-28 23:10:05+00:00,0,0,
"@easyJet this one deserves a free flight, or at least a toastie or something on my next flight ",571809484814884866,Chris_p18,2015-02-28 23:09:39+00:00,0,2,
@easyJet plc Rating Reiterated by Oddo &amp; Cie (EZJ) - Dakota Financial News http://fat.ly/Fxn,571797002519900160,easyJetNews,2015-02-28 22:20:03+00:00,0,0,
@easyJet Many thanks to Lauren &amp; the crew of EZY2142 today for their professionalism &amp; first aid assistance. @DrAClements is feeling better.,571791919359115264,Steevington,2015-02-28 21:59:51+00:00,0,0,
@easyJet is there a number or an email I could contact you on? Urgent,571790087287115776,MaryBulgin,2015-02-28 21:52:34+00:00,0,0,
@easyJet done - thanks so much,571778479097712640,eatlikeagirl,2015-02-28 21:06:27+00:00,0,0,
"@easyJet announces 70,000 extra seats on specific routes from @EDI_Airport over summer, find out more here &gt; http://buff.ly/17D7FvZ",571777642220953600,Tourismintell,2015-02-28 21:03:07+00:00,0,0,
@kevincallaghan2 @easyJet We are sorry to hear about the long wait and thank you for your patience. Hope you'll be on your way home shortly.,571772162115276800,Gatwick_Airport,2015-02-28 20:41:21+00:00,0,0,
@easyJet don't know. Gonna try this tomorrow,571770412209721344,sweetysun,2015-02-28 20:34:23+00:00,0,0,
@easyJet can I dm you details?,571768703110414336,eatlikeagirl,2015-02-28 20:27:36+00:00,0,0,
@easyJet don't have anything like that :(,571768636374822912,eatlikeagirl,2015-02-28 20:27:20+00:00,0,0,
.@easyJet @Gatwick_Airport waited 1hr 30 mins only for one of our cases not to arrive. Complete shambles.,571767820863868928,kevincallaghan2,2015-02-28 20:24:06+00:00,0,0,
@easyJet is there a way I can pay for hold baggage after I have checked in online,571767153357144064,StuartSowerby1,2015-02-28 20:21:26+00:00,0,0,
@easyJet I have done... Thanks for the excellent service ,571766025068384256,SophieAllen92,2015-02-28 20:16:57+00:00,0,0,
"@easyJet @easyJet_DE hi Barbara. Unfortunately, it didn't worked. I still receive this message",571764826755735552,sweetysun,2015-02-28 20:12:12+00:00,0,0,
@easyJet are you able to take liquid make up in the cabin baggage on short haul flights,571759120493228032,StuartSowerby1,2015-02-28 19:49:31+00:00,0,0,
@easyJet good night :),571756407256702976,kmeacham363,2015-02-28 19:38:44+00:00,0,1,
@easyJet Good night :),571755303005503488,rmeacham363,2015-02-28 19:34:21+00:00,0,1,
@easyjet hello! I have a booking reference that doesn't work for check in online. Booked by someone else. I hope you can help - fly tmrw.,571749823650480128,eatlikeagirl,2015-02-28 19:12:35+00:00,0,0,
@easyJet Hello ..Can you please tell me when you`re winter 2015 flights are released ..Thanks,571749691911757824,st07pat,2015-02-28 19:12:03+00:00,0,0,
"@easyJet I know, thanks.",571745803057815552,CrazySadie92,2015-02-28 18:56:36+00:00,0,1,
@easyJet just checked in my fights to &amp; from MAN but the app told me that I'll get the boarding card after arriving at MAN. Is that correct?,571745393844883456,sweetysun,2015-02-28 18:54:59+00:00,0,0,
@easyJet It asks if I or someone else made the initial booking and the agency did? x,571744156592291840,SophieAllen92,2015-02-28 18:50:04+00:00,0,0,
@easyJet I don't think I can as it was booked through a travel company?,571742767954694144,SophieAllen92,2015-02-28 18:44:33+00:00,0,0,
"@easyJet thanks, just going to be very nervous indeed",571742595505885185,CrazySadie92,2015-02-28 18:43:51+00:00,0,0,
"@easyJet plc's ""Buy"" Rating Reiterated at Beaufort Securities (EZJ) - The Legacy http://fat.ly/Fvg",571736622330351616,easyJetNews,2015-02-28 18:20:07+00:00,0,0,
@easyJet just going to be a very nervous first time flyer. Will CS at BRS be able to explain things?,571732443125956609,CrazySadie92,2015-02-28 18:03:31+00:00,0,0,
"@easyJet thanks, ill have to keep some money aside I think, to be honest I expected it to be expensive. So im prepared thanks",571731561147707392,CrazySadie92,2015-02-28 18:00:01+00:00,0,0,
"@easyJet thanks from booking the flights on iPhone to booking car park, no paper required was a dream #justworks",571729701049221120,dbccyart,2015-02-28 17:52:37+00:00,0,1,
"@easyJet Can I also ask please if you sell drinks on board, need one for my prescription medications you see?",571727518987915264,CrazySadie92,2015-02-28 17:43:57+00:00,0,0,
@easyJet's Flexifares ticket booking option explained - @MailOnline http://fat.ly/15vA,571721521338568704,easyJetNews,2015-02-28 17:20:07+00:00,0,0,
@easyJet this is what I mean sorry lol,571721244845985792,xxterriberrixx,2015-02-28 17:19:01+00:00,0,0,
@easyJet Good evening :),571720165727084544,rmeacham363,2015-02-28 17:14:44+00:00,0,1,
