text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates,tweet_sentiment_DDRM,tweet_sentiment_GAH,tweet_sentiment_OKL,DM_Score,GH_Score,OL_Score,Sum,airline_sentiment,Contested
"@jet2tweets booked with jet2 first time on Sunday and by today the package i booked for 2 has gone down nearly £80, just doesn't seem fair",5.83E+17,shykhan607,2015-03-31 21:37:19+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets does the price that comes up on the app the full price as there's no option to book seats when I've used you before,5.83E+17,newmantaz,2015-03-31 21:27:38+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@jet2tweets got engaged at the top. Not a good day. ,5.83E+17,CDPotterLtd,2015-03-31 20:49:18+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets ....2K8JV4 was back on sunday 29th,5.83E+17,Desymac,2015-03-31 18:33:49+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets @EDI_Airport ...anyone traveling with jet2holidays ..hold on to your cases ...because they DONT !!!,5.83E+17,Desymac,2015-03-31 18:08:07+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets do you know whether flights from manchester to murcia going to continue after november?,5.83E+17,chriscam66,2015-03-31 18:06:18+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets Hi I've just dm you both numbers Kirsty,5.83E+17,bluedanny8754,2015-03-31 14:49:14+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@jet2tweets I'm going to tenerife on Thurs with jet2holidays and there is no facility to add API on manage my booking on Web, what can I do?",5.83E+17,lukevincent122,2015-03-31 14:19:34+00:00,0,1,,neutral,negative,negative,0,-1,-1,-2,negative,contested
@jet2tweets done,5.83E+17,DavidHollyhead,2015-03-31 13:08:43+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@jet2tweets Hi booked with low cost and fly with yourselves, I've got confirmation through and have 2 different ref no's",5.83E+17,bluedanny8754,2015-03-31 12:31:28+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
"@jet2tweets I booked a £2300 holiday through Top Cash Back in Feb, the deal was to get £30 cash back, TCB say you haven't paid up, why not?",5.83E+17,DavidHollyhead,2015-03-31 11:57:57+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@Jet2tweets's How come NCL-&gt;KRK-&gt;NCL flights are so expensive? It is often cheaper to fly KLM!,5.83E+17,richilton,2015-03-31 11:55:12+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
"@jet2tweets hi, recieved the second email earlier, thanks anyway.",5.83E+17,MattGleeson89,2015-03-31 10:59:20+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets Disappointed that my flight has been moved 2hrs later when travelling with young child!,5.83E+17,MrsReilly84,2015-03-31 08:42:07+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets holiday - we've already booked but our 2 sons want to join us for 5 days so that's the issue!,5.83E+17,SarahGoldt,2015-03-30 19:56:06+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@jet2tweets oh and btw we just got back from lovely hol at Costa Adeje Gran Hotel in Tenerife!,5.83E+17,SarahGoldt,2015-03-30 19:51:34+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
@jet2tweets hi there I need a bit of advice about booking for people when you're not the lead name? Can you help?,5.83E+17,SarahGoldt,2015-03-30 19:49:55+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets wanted to compliment you on flight from Gran Canaria to EastMids airport. First time using you but definitely again.,5.83E+17,Feltip1982,2015-03-30 19:33:51+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets my phone has no missed calls showing atall. and that number is too expensive to call for me using my Mobile.,5.83E+17,DavidCLumb1,2015-03-30 17:56:10+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets i have DM'd my phone number i missed your Dm message. Im going off now. if you replie ill see your replie later on,5.83E+17,DavidCLumb1,2015-03-30 17:24:11+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@jet2tweets done, can you follow back plz?",5.83E+17,stevengilligan,2015-03-30 16:06:34+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
"@jet2tweets cycling in majorca next week, can I take pressurised CO2 cartridges on the plane?",5.83E+17,stevengilligan,2015-03-30 14:59:02+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets is is possible for me to change my seat again on my inconvient flight times flight going out to tenerife?,5.83E+17,DavidCLumb1,2015-03-30 14:37:21+00:00,0,0,,neutral,negative,negative,0,-1,-1,-2,negative,contested
@jet2tweets thank you,5.83E+17,lalapo1,2015-03-30 11:20:50+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets if I'm travelling to Palma Majorca in June and my passport expires in October is this okay?someone told me u have to have 6mth,5.83E+17,lalapo1,2015-03-30 11:08:00+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets think these two found my location rather amusing. Crew of G-GDFF 29/3/15 . I was stood on a shed though,5.82E+17,NickPreston40,2015-03-29 18:45:34+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
"@jet2tweets flight to and from bcn were good. Great, friendly crew. Bcn ground staff let u down by not taggin bags and causing delays.",5.82E+17,fionasuffredini,2015-03-29 18:40:44+00:00,0,0,,positive,positive,negative,1,1,-1,1,neutral,contested
@jet2tweets To the snowy playgrounds of #Champoluc #Italy,5.82E+17,euuuan,2015-03-29 17:21:11+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
@jet2tweets hey :) was wondering how long the £100 off is on for?? thanks,5.82E+17,DaniEckersley,2015-03-29 13:23:12+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets what's a lazy Sunday....??,5.82E+17,JonnyW1969,2015-03-29 09:51:44+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@jet2tweets All except the car clock, might get round to that before October.",5.82E+17,LandypeteMorris,2015-03-29 08:13:30+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets #ShoutOut to Deborah &amp; Vikki Flight LS518 #bestcustomerservice looked after us superb @ChrisssTheCub ,5.82E+17,JonTheFoxxx,2015-03-28 20:39:52+00:00,1,1,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets sorry Vicki missed your message gran canaria in may,5.82E+17,wesedmund,2015-03-28 20:22:52+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets Ta!,5.82E+17,allonlister,2015-03-28 17:07:37+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets Hi Adam thanks a lot for the info. It'll be Newcastle to Rome around mid/late November.,5.82E+17,philrp1980,2015-03-28 16:55:53+00:00,0,0,,positive,neutral,neutral,1,0,0,1,neutral,contested
"@jet2tweets We have flights tomorrow. Conf says 07:30, http://Jet2.com says 07:30, LBA site says 06:30, clock forward problem?",5.82E+17,allonlister,2015-03-28 16:12:49+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@jet2tweets hi do you know when your winter 2015/16 flights will be available to book?,5.82E+17,philrp1980,2015-03-28 15:03:50+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets Not single manager turned up to take charge. Took an hour to open door for air circulation. No explanations. Policy review req'd,5.82E+17,AlexxiaPG,2015-03-28 14:55:50+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
"@jet2tweets Flight EMA to FAO sat delayed 40 min n now being told we have to get off and identify our bags! Poor comms, kids crying #SortIt",5.82E+17,AlexxiaPG,2015-03-28 14:14:06+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets Thanks Adam. Just DMd you my details x,5.82E+17,HackettLady,2015-03-28 13:17:08+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
@jet2tweets Please follow me so I can direct message you. Thanks,5.82E+17,WeDeserveBette1,2015-03-28 13:07:13+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@jet2tweets Hi, could you please follow me so I can DM you my details. Thank you x",5.82E+17,HackettLady,2015-03-28 12:56:08+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets yay! That's awesome! Also congrats to @JanTweetTweets @suenatal have a lovely weekend x,5.82E+17,HackettLady,2015-03-28 10:41:24+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
"@jet2tweets could you follow me please so that I can DM, thank you",5.82E+17,suenatal,2015-03-28 10:32:07+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
Thank you so much @jet2tweets and congrats to @HackettLady @JanTweetTweets,5.82E+17,suenatal,2015-03-28 10:30:29+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets @HackettLady @suenatal thanks (and congrats ladies!) - can you follow me so I can DM,5.82E+17,janib_19,2015-03-28 10:23:20+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets When are you guys going to invest in some Airbus a320's?,5.82E+17,karlsn74,2015-03-28 10:09:31+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@jet2tweets just say ...the cabin crew handled a very poorly lady brilliantly #credittoyourteam #flightLS831,5.82E+17,mrsdobber,2015-03-28 07:09:53+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets yes please,5.82E+17,lyn_mcleod,2015-03-27 19:39:20+00:00,0,0,,neutral,positive,neutral,0,1,0,1,neutral,contested
@jet2tweets Thanks. If the pilot or co pilot are locked out of the cockpit are they able to get back in?,5.82E+17,stevewatson1958,2015-03-27 18:09:28+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@jet2tweets hi, it looks like this was only happening in Chrome browser so sorted now. Thanks.",5.81E+17,pjb1981,2015-03-27 15:43:48+00:00,0,0,,neutral,neutral,positive,0,0,1,1,neutral,contested
@jet2tweets @xxalibobxx will this procedure be enforced as I am sure in the past this is not always the case,5.81E+17,manddvictor,2015-03-27 15:34:57+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@jet2tweets @stevewatson1958 is this in force on all Jet2 flights,5.81E+17,manddvictor,2015-03-27 15:28:09+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
"@jet2tweets interesting start to our hol yesterday! Aborted landing in Alicante, nearly pooped when we hit the runway and took off again",5.81E+17,mrstinahammond,2015-03-27 13:51:46+00:00,0,0,,neutral,negative,negative,0,-1,-1,-2,negative,contested
"@jet2tweets Do Jet2 procedures enforce a ""2 crew members in the cockpit at all times"" rule?",5.81E+17,stevewatson1958,2015-03-27 12:40:23+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets thanks for your help - checkin just closed unfortunately.,5.81E+17,timwright_leeds,2015-03-27 12:25:31+00:00,0,0,,neutral,neutral,negative,0,0,-1,-1,neutral,contested
@jet2tweets any chance I could get on your 13.40 flight today from FCO to LBA. My flight via Ams delayed.,5.81E+17,timwright_leeds,2015-03-27 12:12:29+00:00,0,0,,neutral,negative,neutral,0,-1,0,-1,neutral,contested
"@jet2tweets hi,is there a problem with your site? Trying to login to Manage My Booking but getting this error?",5.81E+17,pjb1981,2015-03-27 11:28:17+00:00,0,0,,negative,negative,negative,-1,-1,-1,-3,negative,
@jet2tweets hi can you confirm the new depart time for flight ls888 frm Prague to Manchester.,5.81E+17,Rob_Stoke,2015-03-27 10:37:07+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets Ahhh fab thank you x,5.81E+17,xxalibobxx,2015-03-27 10:07:30+00:00,0,0,,positive,positive,positive,1,1,1,3,positive,
@jet2tweets #jet2view Leaving Barcelona yesterday.,5.81E+17,pandaeyes82,2015-03-27 09:59:46+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets Mediterranean Sea.,5.81E+17,pandaeyes82,2015-03-27 09:47:43+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets Mediterranean,5.81E+17,gazh147,2015-03-27 09:47:29+00:00,0,0,,neutral,neutral,neutral,0,0,0,0,neutral,
@jet2tweets thank you. We are still at MAN. Aircraft change so only departing about 11.30 now. Can't wait!,5.81E+17,dizzytix,2015-03-27 09:46:48+00:00,0,0,,positive,negative,positive,1,-1,1,1,neutral,contested
