,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates,tweet_sentiment
0,0,0,0,"@jet2tweets booked with jet2 first time on Sunday and by today the package i booked for 2 has gone down nearly £80, just doesn't seem fair",5.83e+17,shykhan607,2015-03-31 21:37:19+00:00,0,0,,negative
1,1,1,1,@jet2tweets does the price that comes up on the app the full price as there's no option to book seats when I've used you before,5.83e+17,newmantaz,2015-03-31 21:27:38+00:00,0,0,,negative
2,2,2,2,@jet2tweets got engaged at the top. Not a good day. ,5.83e+17,CDPotterLtd,2015-03-31 20:49:18+00:00,0,0,,negative
3,3,3,3,@jet2tweets ....2K8JV4 was back on sunday 29th,5.83e+17,Desymac,2015-03-31 18:33:49+00:00,0,0,,neutral
4,4,4,4,@jet2tweets @EDI_Airport ...anyone traveling with jet2holidays ..hold on to your cases ...because they DONT !!!,5.83e+17,Desymac,2015-03-31 18:08:07+00:00,0,0,,negative
5,5,5,5,@jet2tweets do you know whether flights from manchester to murcia going to continue after november?,5.83e+17,chriscam66,2015-03-31 18:06:18+00:00,0,0,,neutral
6,6,6,6,@jet2tweets Hi I've just dm you both numbers Kirsty,5.83e+17,bluedanny8754,2015-03-31 14:49:14+00:00,0,0,,neutral
7,7,7,7,"@jet2tweets I'm going to tenerife on Thurs with jet2holidays and there is no facility to add API on manage my booking on Web, what can I do?",5.83e+17,lukevincent122,2015-03-31 14:19:34+00:00,0,1,,negative
8,8,8,8,@jet2tweets done,5.83e+17,DavidHollyhead,2015-03-31 13:08:43+00:00,0,0,,neutral
9,9,9,9,"@jet2tweets Hi booked with low cost and fly with yourselves, I've got confirmation through and have 2 different ref no's",5.83e+17,bluedanny8754,2015-03-31 12:31:28+00:00,0,0,,negative
10,10,10,10,"@jet2tweets I booked a £2300 holiday through Top Cash Back in Feb, the deal was to get £30 cash back, TCB say you haven't paid up, why not?",5.83e+17,DavidHollyhead,2015-03-31 11:57:57+00:00,0,0,,negative
11,11,11,11,@Jet2tweets's How come NCL-&gt;KRK-&gt;NCL flights are so expensive? It is often cheaper to fly KLM!,5.83e+17,richilton,2015-03-31 11:55:12+00:00,0,0,,negative
12,12,12,12,"@jet2tweets hi, recieved the second email earlier, thanks anyway.",5.83e+17,MattGleeson89,2015-03-31 10:59:20+00:00,0,0,,neutral
13,13,13,13,@jet2tweets Disappointed that my flight has been moved 2hrs later when travelling with young child!,5.83e+17,MrsReilly84,2015-03-31 08:42:07+00:00,0,0,,negative
14,14,14,14,@jet2tweets holiday - we've already booked but our 2 sons want to join us for 5 days so that's the issue!,5.83e+17,SarahGoldt,2015-03-30 19:56:06+00:00,0,0,,negative
15,15,15,15,@jet2tweets oh and btw we just got back from lovely hol at Costa Adeje Gran Hotel in Tenerife!,5.83e+17,SarahGoldt,2015-03-30 19:51:34+00:00,0,0,,positive
16,16,16,16,@jet2tweets hi there I need a bit of advice about booking for people when you're not the lead name? Can you help?,5.83e+17,SarahGoldt,2015-03-30 19:49:55+00:00,0,0,,neutral
