Word,Sentiment,Sentiment Confidence
airline,neutral,0.006400043
i,negative,-0.008715327
be,neutral,0.014540702
on,neutral,0.021044005
ua1069,negative,0.14080572
today,negative,0.01352768
and,positive,0.013466757
leave,negative,0.07194122
-pron-,positive,0.0072914474
sunglass,neutral,0.0073069744
in,positive,0.014876615
seat,positive,-0.014926968
26f,neutral,-0.0047402903
please,positive,0.012150757
help,neutral,0.007632371
get,neutral,0.00838176
back,positive,0.011911757
unitedairline,neutral,0.008090556
yes,positive,-0.005622782
nearly,positive,0.018692296
every,neutral,0.01995268
time,neutral,0.019249674
fly,positive,0.01151669
vx,neutral,-0.002819674
this,positive,0.009571079
"""",negative,0.0035256017
ear,neutral,-0.0021351464
worm,negative,0.015726712
will,positive,0.01980238
not,neutral,0.0019071773
go,neutral,0.011919662
away,positive,-0.004084708
flight,negative,0.02125213
cancel,positive,0.014850311
flightle,positive,0.017719887
can,neutral,0.020900935
through,positive,0.01677411
to,positive,-0.0046949983
the,positive,0.002728479
desk,negative,-0.005080048
nothing,negative,0.011593938
show,negative,0.020131677
online,negative,0.02740006
under,negative,0.0005696863
reservation,negative,0.0030621178
,neutral,-0.0070200795
what,neutral,0.010917515
do,positive,0.0019183382
need,positive,0.012653355
work,positive,0.011045903
united,neutral,0.017205168
flierfriendly,negative,-0.0055925734
program,negative,-0.000652967
at,neutral,0.01881301
very,neutral,0.016351663
least,negative,0.0034569297
clue,neutral,0.005828237
attendant,positive,0.020512182
hi,neutral,0.012254097
have,neutral,-0.0016619526
a,negative,0.011732958
question,positive,0.015071895
re,negative,0.008805953
future,positive,0.020959496
booking,positive,0.019020438
problem,positive,0.016633362
dubjac,positive,0.00037748553
299,neutral,0.008683914
jaclax,positive,0.013365541
810,negative,0.008662725
laxdub,positive,0.020807259
1310,positive,0.007388726
g,neutral,0.014848992
check,negative,0.007030271
bag,positive,0.013359591
allowance,neutral,0.012865644
for,negative,0.01508325
now,negative,0.013117719
lose,positive,0.0007889047
never,neutral,0.020246375
ever,neutral,0.03659449
again,negative,0.01691296
joke,positive,-0.016727768
apparently,negative,0.01574843
mechanic,negative,-0.008273885
fix,positive,0.00348307
some,negative,0.011463456
planesnot,positive,0.019540414
most,positive,0.0046681818
assuring,neutral,0.021124616
sign,positive,0.014258742
upgrade,positive,-0.0010947902
next,negative,0.0111690685
just,positive,0.014842451
try,positive,0.017771509
charge,neutral,-0.0019896626
750,neutral,0.0002230648
539,positive,0.018356469
when,negative,0.007017346
make,neutral,0.015284263
change,positive,0.002848968
over,neutral,0.013596941
phone,positive,0.012585416
include,neutral,0.006222373
200,positive,0.0036854278
fee,negative,0.01925882
wtf,positive,-0.0012163091
1,positive,0.006308427
12,neutral,0.008347942
hour,neutral,0.021258581
hold,negative,0.00521688
