text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates
"@jet2tweets theyve just arrived.Sadly, as its now 9pm weve already bought food. Only just been given a copy of a letter explaining the delay",571748179890311168,tomwilson301,2015-02-28 19:06:03+00:00,0,0,
@jet2tweets I'm in Sofia waiting for a flight to EMA that has been delayed 4 hours? Can you please inform me what I'm supposed to be doing?,571746520476872706,OllieFreeman,2015-02-28 18:59:27+00:00,0,0,
Thanks @jet2tweets No one has told us what is going in Sofia- other than its delayed!Sat here for 4 1/2 hours with no refreshments. Unhappy,571736663170404353,tomwilson301,2015-02-28 18:20:17+00:00,0,0,
“@jet2tweets: Update: LS2108: SOF - EMA. Due to a power outage at EMA this flight will now depart Sofia at 22:35 local.” @StephColl09 ,571723248452440064,Iain_Plowman,2015-02-28 17:26:59+00:00,0,0,
@jet2tweets I was just trying from any UK airport.. I wanted to see what was about.,571707606215090177,MrsArcticride,2015-02-28 16:24:49+00:00,0,0,
@jet2tweets @jaynecarter364 has it left UK yet?,571706681333317633,jaynecarter364,2015-02-28 16:21:09+00:00,0,0,
"@jet2tweets Hi can we please have some information on flight LS2108 from sofia airport, Bulgaria too East midlands airport, UK. THANKS",571706274695409664,BexUrbanDesign,2015-02-28 16:19:32+00:00,0,0,
@jet2tweets any info on LS2108 Sofia to EMA? R u saying nothing to drive people to your premium priced phone line?,571704729086140417,jaynecarter364,2015-02-28 16:13:23+00:00,0,0,
@jet2tweets can u confirm if LS2108 from Sofia to EMA on time? Outbound flight 12:20 from EMA removed from departures screen?,571702007058333696,jaynecarter364,2015-02-28 16:02:34+00:00,0,0,
@jet2tweets okay thank you,571683708857659393,chloe_nicolexxx,2015-02-28 14:49:52+00:00,0,0,
@jet2tweets do you do ground operations apprenticeships if so were will I be able to find them?,571661341112569856,chloe_nicolexxx,2015-02-28 13:20:59+00:00,0,0,
@jet2tweets hi I have booked a holiday and was wondering if it's possible to change the return flights? Can u let me know ASAP,571608122583855104,CherylKal,2015-02-28 09:49:31+00:00,0,0,
@jet2tweets your website won't let me select dates from my phone on this screen.. Trying to search for a holiday!,571431502543781888,MrsArcticride,2015-02-27 22:07:41+00:00,0,0,
@jet2tweets disappointed 2 name changes on a return flight from Leeds to Malaga is going to cost me £732. Really??,571400730248155137,chrscnvry,2015-02-27 20:05:24+00:00,0,0,
@jet2tweets on a cruise ship in the Caribbean,571380534758252544,lush_lady_lumps,2015-02-27 18:45:09+00:00,0,0,
@jet2tweets Wow! Thanks Jet2. If you follow me I can DM you my details. Don't think I can send them otherwise.,571372580847951872,WhiteKnightLUFC,2015-02-27 18:13:33+00:00,0,0,
@jet2tweets @WhiteKnightLUFC congrats x,571345452907540481,Nuttynel,2015-02-27 16:25:45+00:00,0,0,
@jet2tweets Id call him sadtobeback!,571339201272291328,paulj737,2015-02-27 16:00:55+00:00,0,0,
@jet2tweets cutie cuddles,571335065977954304,1952mot,2015-02-27 15:44:29+00:00,0,0,
"@jet2tweets I'm just making a brew, ready to pig out, never tried them before, thank again :)))",571296795663458304,Claire_tweets_,2015-02-27 13:12:24+00:00,0,0,
"""@jet2tweets: #WIN jetoo the lion",571296058233520129,nellyisfine,2015-02-27 13:09:29+00:00,0,0,
@jet2tweets #Teddy #Jitsu,571288975643693056,mccormacktiger1,2015-02-27 12:41:20+00:00,0,0,
@jet2tweets my daughter says it's cookie x,571285601003159552,ONeill001,2015-02-27 12:27:55+00:00,1,0,
@jet2tweets Monte #win,571279128093204480,mw_marina,2015-02-27 12:02:12+00:00,0,0,
@jet2tweets Leo #win,571277083172691968,Crystal_1392,2015-02-27 11:54:05+00:00,1,0,
@jet2tweets Clyde,571257825684545536,Jodoh33,2015-02-27 10:37:33+00:00,0,0,
@jet2tweets Jetoo,571256054555795456,kenty227,2015-02-27 10:30:31+00:00,0,0,
@jet2tweets basil :),571250605299257344,BethPearson1,2015-02-27 10:08:52+00:00,0,0,
@jet2tweets Jetty,571247227135508480,WhiteKnightLUFC,2015-02-27 09:55:26+00:00,0,0,
@jet2tweets SAMMY #win,571246489793662976,CherylKal,2015-02-27 09:52:31+00:00,0,1,
"@jet2tweets Hi, have been following for ages, you need to follow me so I can DM you! Thanks :-)",571244101556944896,rob_browett,2015-02-27 09:43:01+00:00,0,0,
@jet2tweets grumpy @SandraNixon1,571236374717829120,donk48,2015-02-27 09:12:19+00:00,0,1,
@jet2tweets daughter suggests Ellie!,571236271084986368,martin_toms,2015-02-27 09:11:54+00:00,0,0,
@jet2tweets if you had another you could have Pet1 and Pet2!! ,571236139341885440,martin_toms,2015-02-27 09:11:23+00:00,0,0,
"""@jet2tweets: #WIN! Clarance ",571234602649571329,zipidydodaday,2015-02-27 09:05:16+00:00,0,0,
@jet2tweets sky,571233805585022976,bondpool,2015-02-27 09:02:06+00:00,0,0,
@jet2tweets Rory #win,571233606141681664,sharonjones13,2015-02-27 09:01:19+00:00,1,1,
"@jet2tweets he looks like "" Andy"" to me ",571233424004014080,SandraNixon1,2015-02-27 09:00:35+00:00,1,1,
@jet2tweets all sorted! Thanks for the lovely customer service ,571228301894807552,flicarama,2015-02-27 08:40:14+00:00,0,1,
@jet2tweets just booked flights (yays!)but accidentally booked luggage. Call centre is closed but I can amend this for free right??!,571066951176466433,flicarama,2015-02-26 21:59:05+00:00,0,0,
@jet2tweets still in AMS. No announcements. No info. No apologies. 2 hours 15 and counting.,571044877892521984,theleehoulker,2015-02-26 20:31:23+00:00,0,0,
@jet2tweets thank you.,571034938381901825,theleehoulker,2015-02-26 19:51:53+00:00,0,0,
@jet2tweets apparently we're departing in 6 minutes...still at gate. No plane! #jet2 #lies #fail #epicfail,571032078579585024,theleehoulker,2015-02-26 19:40:31+00:00,0,0,
@jet2tweets any more info? No sign of that plane? Its leaving in 17 minutes right?,571030420877385728,theleehoulker,2015-02-26 19:33:56+00:00,0,0,
@jet2tweets Leeds Leeds Leeds,571029879334047744,jetsetjase,2015-02-26 19:31:47+00:00,0,0,
