tweet_id,airline_sentiment,airline_sentiment_confidence,negativereason,negativereason_confidence,airline,airline_sentiment_gold,name,negativereason_gold,retweet_count,text,tweet_coord,tweet_created,tweet_location,user_timezone,locations_from_text
5.70278E+17,positive,1,,,Virgin America,,ItzBrianHunty,,0,virginamerica so excited for my first cross country flight lax to mco ive heard nothing but great things about virgin america 29daystogo,,24/02/2015 09:42,west covina,Pacific Time (US & Canada),"[{'from': 'lax', 'to': 'mco'}]"
5.70277E+17,negative,1,Bad Flight,1,Virgin America,,heatherovieda,,0,virginamerica  i flew from nyc to sfo last week and couldnt fully sit in my seat due to two large gentleman on either side of me help,,24/02/2015 09:39,this place called NYC,Eastern Time (US & Canada),[{'to': 'sfo'}]
5.70259E+17,neutral,1,,,Virgin America,,rjlynch21086,,0,virginamerica will you be making bos to las non stop permanently anytime soon,,24/02/2015 08:27,"Boston, MA ",Eastern Time (US & Canada),"[{'from': 'bos', 'to': 'las'}]"
5.70125E+17,neutral,0.615,,0,Virgin America,,TenantsUpstairs,,0,virginamerica lax to ewr  middle seat on a red eye such a noob maneuver sendambien andchexmix,"[33.94540417, -118.4062472]",23/02/2015 23:34,Brooklyn,Atlantic Time (Canada),"[{'from': 'lax', 'to': 'ewr'}]"
5.70095E+17,neutral,1,,,Virgin America,,JCervantezzz,,0,virginamerica are the hours of operation for the club at sfo that are posted online current,,23/02/2015 21:35,"California, San Francisco",Pacific Time (US & Canada),[{'to': 'sfo'}]
5.70088E+17,negative,1,Customer Service Issue,1,Virgin America,,Cuschoolie1,,0,virginamerica help left expensive headphones on flight 89 iad to lax today seat 2a no one answering lampf number at lax,"[33.94209449, -118.40410103]",23/02/2015 21:10,Washington DC,Quito,"[{'from': 'iad', 'to': 'lax'}, {'to': 'lax'}]"
5.70016E+17,neutral,1,,,Virgin America,,GottAmanda,,0,virginamerica plz help me win my bid upgrade for my flight 227 lax to sea  🍷👍💺✈️,"[34.0219817, -118.38591198]",23/02/2015 16:24,Los Angeles,,"[{'from': 'lax', 'to': 'sea'}]"
5.70014E+17,neutral,1,,,Virgin America,,papamurat,,0,virginamerica are flights leaving dallas for seattle on time feb 24,,23/02/2015 16:13,,,[{'from': 'dallas'}]
5.7E+17,neutral,1,,,Virgin America,,papamurat,,0,virginamerica will flights be leaving dallas for la on february 24th,,23/02/2015 15:19,,,[{'from': 'dallas'}]
5.69996E+17,negative,0.6939,Flight Booking Problems,0.6939,Virgin America,,murphicus,,0,virginamerica hi im so excited about your 99 lga to dal deal but ive been trying 2 book since last week amp the page never loads thx,,23/02/2015 15:05,"new york, new york",Eastern Time (US & Canada),"[{'from': 'lga', 'to': 'dal'}]"
