Predictions,Text
2,airline -pron- really aggressive blast obnoxious entertainment -pron- guest face -pron- little recourse
6,airline -pron- really big bad thing -pron-
3,airline seriously would pay 30 flight seat playing -pron- really bad thing fly va
1,airline sfopdx schedule still mia
4,airline fly nyc sfo last week could fully sit -pron- seat due two large gentleman either side -pron- help
6,airline -pron- first fare may three time carrier seat available select
3,airline -pron- guy mess -pron- seating reserve seat -pron- friend -pron- guy give -pron- seat away poutingface want free internet
2,airline status match program apply -pron- three week call email response
2,airline happen 2 ur vegan food option least say ur site know able 2 eat anything next 6 hrs fail
5,airline amazing -pron- -pron- get cold air vent vx358 noair worstflightever roast sfotobos
3,airline hi bke cool birthday trip -pron- add -pron- elevate cause enter -pron- middle name flight booking problem cryingface
1,airline help leave expensive headphone flight 89 iad lax today seat 2a one answer l f number lax
3,airline await -pron- return phone call would prefer use -pron- online selfservice option
3,airline -pron- chat support work -pron- site
6,airline hey first time flyer next week excited hard time get -pron- flight add -pron- elevate account help
4,airline hi excited -pron- 99 lga dal deal try 2 book since last week page never load thx
0,airline call 34 week ago add 3 flight 2014 -pron- elevatethey still show uphelp
7,airline heyyyy guyyyys try get hour someone call -pron- please
1,airline hi virgin hold 4050 minute early flight la nyc tonight early 1150pm
7,airline everything fine -pron- lose -pron- bag
5,airline -pron- airline awesome -pron- lax loft need step -pron- game 40 dirty table floor
7,airline go customer service anyway speak human asap thank -pron-
6,airline -pron- supp biz traveler like otherairline customer service like otherairline neverflyvirginforbusiness
3,airline -pron- good whenever begrudgingly use airline delayed late flight
1,airline interesting flying -pron- cancel flight -pron- next four flight plannedneverflyvirginforbusiness
5,airline -pron- disappointing experience share every business traveler meet neverflyvirgin
3,airline -pron- trouble add flight -pron- wife book -pron- elevate account help
4,airline site -pron- back
1,airline like tv interesting video disappoint cancel flightled flight flight go jfk saturday
1,airline land lax hour -pron- late flight bag check business travel friendly nomorevirgin
2,airline -pron- -pron- -pron- website btw -pron- new website great user experience time another redesign
7,airline check add bag -pron- website work try desktop mobile
4,airline let 2 scan passenger leave plane tell someone remove -pron- bag 1st class bin uncomfortable
3,airline -pron- phone number find call flight reservation
2,airline anyone anything today website useless one answer phone
1,airline must traveler miss flight late flight check bag miss -pron- morning appointment -pron- lose -pron- business sfo2lax
1,airline direct flight fll sfo unexpected layover vegas 4 fuel yet peep next -pron- buy vegas flight sneaky
1,airline -pron- late flight bag check lose -pron- -pron- business miss flight apt three people flight exp
7,airline call -pron- service line hang awesome sarcasm
3,airline -pron- site trip try check get plain text version reluctant enter card info
5,airline concerned fly plane need delay due tech stop
2,airline use another browser 2015 brand reputation build tech response crossbrowser compatible website
7,airline flight flight booking problem site totally folk problem
0,airline like customer service 40 min delay connect passenger seem long va370
7,airline need change -pron- flight schedule 9 hour 120 min wait time phone -pron- call intern help
2,airline -pron- fail -pron- customer -pron- check process link tsa precheck
2,airline user -pron- terrible airline give -pron- hotel hotline number say sorry
1,airline user -pron- assistance yesterday u cancel flightle -pron- flight give -pron- hotel hotline shame -pron-
0,airline another delay flight likingyoulessandless
0,airline need register service dog first class ticket sfo dull phone queue hour long pls advise
3,airline -pron- book seat -pron- flight -pron- buy -pron- even check create much anxiety frustrate
3,airline -pron- would think pay extra 100 buck rt luggage may afford -pron- hire extra hand user lame
7,airline please provide status flight 769 imagine -pron- time web indicate dude weather andor dallas
3,airline pay premium fly -pron- across country -pron- cancel flight -pron- flight offer check fee upgrade love sad face
3,airline question -pron- possible book seat infant 2 -pron- give -pron- option -pron- want seat -pron-
7,virginamerica understand -pron- need dm give -pron- answer -pron- damage luggage policy
2,virginamerica mean -pron- policy destroy luggage
7,airline problem flight booking problem web site keep give -pron- error contact phone phone 30 minute wait
1,airline reschedule -pron- cancel flightle flight online change button grey
7,airline ring wait 35 minute book ticket vendor fix -pron- site
1,airline get flight -pron- tell 450 todaychecke -pron- email -pron- 450 tomorrow unacceptable
1,airline -pron- flight lga cancel flight -pron- stick dallas call reschedule tell could get flight today12
3,airline pairing include red wine white offer redwineisbetter
2,airline website
6,airline -pron- site seem little wonked right may want look try two browser css
4,airline disappointed agent designate silver status check line user close assist pasenger
4,airline -pron- normal receive reply central baggage baggageissue smh
5,airline logan airport wait checkin -pron- 9 a.m. flight checkin desk open
6,airline congrat -pron- get -pron- business ewr sfolax fuck -pron- otherairline fl1289 sfoewr clincher
4,airline apply 2 week ago hear back fly week disappoint
5,airline many apology -pron- r bad airline even respond -pron- cudtomer
2,airline shame va make people spend money strand city airline land jfk reimburse -pron-
2,airline bad -pron- say -pron- take 10 14 day via -pron- confirmation email inquire 3 week -pron- claim 6 8 week
1,airline flight bos las tomorrow cancel flightle notification wait time 1 hour -pron- rebook another airline
5,airline lot apology throw customer seevery sad thank nothing bad airline ever
5,airline -pron- flight stuff wrong nothing -pron- bad flight ever
3,airline try book flight -pron- guy -pron- website let -pron- lose -pron- business
0,airline -pron- suck
5,airline dm would issue persist
