text,tweet_id,name,tweet_created,retweet_count,favourites_count,tweet_coordinates
"@British_Airways it is normal that for a 10 hours fly, parents wants to be with their chidrens.",571815756582805505,enigrive,2015-02-28 23:34:34+00:00,0,0,
"@British_Airways with your SAV by phone, nobody can help us !!! Incredible.",571815305032425472,enigrive,2015-02-28 23:32:47+00:00,0,0,
"@British_Airways Dear, why 'they will try' ? We have to be seat together. I do not understand why it doesn't work. I spend 2hours by phone",571815142935142402,enigrive,2015-02-28 23:32:08+00:00,0,0,
"@British_Airways Seen no bears, but had an awesome time. See you tomorrow from Toronto to Landan town!!",571808193665486849,EasyBearForever,2015-02-28 23:04:31+00:00,0,0,
@British_Airways A nice 3-1 away win at St Albans thanks David,571806492636147712,MarkHyde13,2015-02-28 22:57:46+00:00,0,0,
@British_Airways oh I know it - it's the only appropriate time to leave!,571805703188295681,loveyourcake,2015-02-28 22:54:37+00:00,0,1,
@British_Airways Skinning burning&amp;burying animals alive-NOT cool #CrueltyIsNotCool Pls sign http://bit.ly/1JDDRAW,571805599136145411,PepeNature,2015-02-28 22:54:13+00:00,0,0,
@British_Airways Skinning burning&amp;burying animals alive-NOT cool #CrueltyIsNotCool Pls sign http://bit.ly/1JDDRAW,571805014206894080,notodogmeat,2015-02-28 22:51:53+00:00,0,0,
@British_Airways you don't support TSA Pre because....??? Important part of U.S. business travel!,571799653605244928,themoose,2015-02-28 22:30:35+00:00,0,1,
@British_Airways any advice greatly appreciated,571798419972489217,pondlifeinc,2015-02-28 22:25:41+00:00,0,0,
@British_Airways she's definitely going to struggle with cases etc... And unfortunately I'm in the uk so can't join her at baggage reclaim,571798304247431168,pondlifeinc,2015-02-28 22:25:13+00:00,0,0,
"@British_Airways hi, my wife is flying alone to LHR T5 tomorrow with our 10 mth old son and 3 cases. Any way to get help at arrivals?",571797936188862465,pondlifeinc,2015-02-28 22:23:46+00:00,0,0,
"@British_Airways lol, that's crazy talk Beth!",571793423235203073,coolyourjets,2015-02-28 22:05:50+00:00,0,0,
@British_Airways BA36 operational difficulties or just the usual incompetence?,571793297129279488,robnorman,2015-02-28 22:05:20+00:00,0,0,
"@British_Airways arrived 2.5hours later - needless to say, no not a good flight!",571792203036663809,Jen_M_Griffith,2015-02-28 22:00:59+00:00,0,0,
@British_Airways Great crew and service on 481 back from BCN today; first use of my exec club account as well. ,571791730917285889,steerwithmyrear,2015-02-28 21:59:06+00:00,0,0,
@British_Airways please help out @MarathonMan_UK - doing great stuff for kids' charity but stranded in US by ticket problems.,571791330415927296,twidgeon,2015-02-28 21:57:31+00:00,0,0,
@British_Airways what gate is BA217 arriving in at IAD?,571790098943094786,morganofdisney,2015-02-28 21:52:37+00:00,0,0,
@British_Airways try and help this legend. He is doing a lot of good work,571787285873729537,thealex07,2015-02-28 21:41:26+00:00,0,0,
"@British_Airways looking forward to fly with you tomorrow, on the first day of the spring for a first new chapter in my life :)",571786632732528640,Lorrssoo,2015-02-28 21:38:51+00:00,0,0,
@British_Airways @johnarlidge flies nonstop around the world in 1st class. Here’s his verdict http://thetim.es/1ENzfS4,571786219652182016,TheSTMagazine,2015-02-28 21:37:12+00:00,1,0,
@British_Airways flight BA144 from Baku to London on Friday 27th,571784726605905920,Kabusia,2015-02-28 21:31:16+00:00,0,0,
@British_Airways @MarathonMan_UK seriously this needs sorting. Disgusting @British_Airways @richardbranson can you help??,571783539684982784,cheryl37rich,2015-02-28 21:26:33+00:00,1,0,
@British_Airways @MarathonMan_UK bad customer service..............,571783133466664960,leszaw42,2015-02-28 21:24:56+00:00,0,1,
"@British_Airways @DavidMarkBulley They will treat you both great. I enjoyed my flight with them!! Hey Dave, I've got a question. DM Plz xx",571782992340787201,gaylemcconnau,2015-02-28 21:24:23+00:00,0,0,
@British_Airways I ended up going to the airport and paying the extra fee because they promised to make a note to let me pay the regular,571781205064077312,diab_alia,2015-02-28 21:17:17+00:00,0,0,
